;;;;Jahres-;maximaler;Zahl der ;Zahl der 
;;;;mittelwert;Stundenwert;Stundenwerte;Stundenwerte
Station;Name/Messnetz;Emissinsquelltyp;Umgebungstyp;in µg/m³;in µg/m³;> 230 µg/m³;> 200 µg/m³
DENW097;Wuppertal Fr.-E.-Allee;städtisches Gebiet;Verkehr;48;163;0;0
DENW098;Münster Friesenring;städtisches Gebiet;Verkehr;32;130;0;0
DENW099;Aachen Kaiserplatz;städtisches Gebiet;Verkehr;46;189;0;0
DENW100;Mönchengladbach Düsseldorfer Straße;städtisches Gebiet;Verkehr;28;116;0;0
DENW101;Dortmund Steinstr.;städtisches Gebiet;Verkehr;44;238;1;4
DENW102;Duisburg-Bruckhausen;städtisches Gebiet;Industrie;35;147;0;0
DENW112;Duisburg Kardinal-Galen-Str.;städtisches Gebiet;Verkehr;42;182;0;0
DENW133;Hagen Graf-v.Galen-Ring;städtisches Gebiet;Verkehr;61;205;0;2
DENW134;Essen Gladbecker Str.;städtisches Gebiet;Verkehr;51;233;1;2
DENW136;Dortmund Brackeler Str.;städtisches Gebiet;Verkehr;64;249;1;3
DENW177;Bielefeld Stapenhorststr;städtisches Gebiet;Verkehr;31;125;0;0
DENW179;Schwerte;städtisches Gebiet;Hintergrund;25;106;0;0
DENW180;Grevenbroich-Gustorf;vorstädtisches Gebiet;Industrie;21;90;0;0
DENW189;Wuppertal Gathe;städtisches Gebiet;Verkehr;62;191;0;0
DENW199;Münster Weseler Straße;städtisches Gebiet;Verkehr;64;209;0;2
DENW200;Bielefeld Detmolder Str.;städtisches Gebiet;Verkehr;45;157;0;0
DENW201;Bottrop Peterstr.;städtisches Gebiet;Verkehr;46;138;0;0
DENW202;Siegen Sandstr.;städtisches Gebiet;Verkehr;53;222;0;3
DENW203;Herne Recklinghauser Str.;städtisches Gebiet;Verkehr;51;165;0;0
DENW204;Bochum Herner Str.;städtisches Gebiet;Verkehr;59;217;0;2
DENW205;Duisburg Fr.-E.-Straße;städtisches Gebiet;Verkehr;46;140;0;0
DENW206;Solingen Konrad-Adenauer-Str.;städtisches Gebiet;Verkehr;46;179;0;0
DENW207;Aachen Wilhelmstr.;städtisches Gebiet;Verkehr;55;349;4;6
DENW208;Gelsenkirchen Kurt-Schumacher-Str.;städtisches Gebiet;Verkehr;55;182;0;0
;Rheinland-Pfalz;;;;;;
DERP001;Ludwigshafen-Oppau;städtisches Gebiet;Hintergrund;30;140;0;0
DERP002;Ludwigshafen-Mitte;städtisches Gebiet;Verkehr;41;166;0;0
DERP003;Ludwigshafen-Mundenheim;städtisches Gebiet;Verkehr;36;147;0;0
DERP007;Mainz-Mombach;städtisches Gebiet;Hintergrund;29;121;0;0
DERP008;Mainz-Goetheplatz;städtisches Gebiet;Verkehr;35;129;0;0
DERP009;Mainz-Zitadelle;städtisches Gebiet;Verkehr;39;164;0;0
